0, 1, 23.456, 13.564, 4000.2, 0, 0, 300.01, 
1, 1, 0, 0, 0, 300.01, 0, 0, 
2, 1, 1000, 0, 0, 300.01, 0, 0, 
3, 1, 0, 1000, 0, 0, 200.01, 0, 
4, 1, -1000, -1000, 0, 0, 0, -400.01, 
5, 1, 2000, 0, 0, -100.01, 0, 0, 
6, 1, 0, 2000, 0, 0, 200.01, 0, 
7, 1, -2000, -2000, 0, 0, 0, -400.01, 
0, 1, 23.456, 13.564, 4300.21, 0, 0, 300.01, 
1, 1, 299.778, 0.015056, 4.55822, 299.545, 0.0301121, 9.11645, 
2, 1, 1298.94, 0.015056, 4.55822, 297.865, 0.0301121, 9.11645, 
3, 1, 0.019703, 1198.69, 4.55822, 0.0394061, 197.376, 9.11645, 
4, 1, -999.14, -998.875, -395.028, 1.71941, 2.25011, -390.046, 
5, 1, 1898.41, 0.015056, 4.55822, -103.163, 0.0301121, 9.11645, 
6, 1, 0.019703, 2197.58, 4.55822, 0.0394061, 195.156, 9.11645, 
7, 1, -1998.3, -1997.76, -395.028, 3.39941, 4.47011, -390.046, 
0, 1, 23.456, 13.564, 4600.22, 0, 0, 300.01, 
1, 1, 598.839, 0.060174, 18.5364, 298.578, 0.0601239, 18.8399, 
2, 1, 1595.48, 0.060174, 18.5364, 295.222, 0.0601239, 18.8399, 
3, 1, 0.0787625, 1394.53, 18.5364, 0.0787129, 194.307, 18.8399, 
4, 1, -996.563, -995.504, -779.365, 3.43448, 4.49273, -378.629, 
5, 1, 1793.76, 0.060174, 18.5364, -106.139, 0.0601239, 18.8399, 
6, 1, 0.0787625, 2390.1, 18.5364, 0.0787129, 189.874, 18.8399, 
7, 1, -1993.21, -1991.07, -779.365, 6.79025, 8.92534, -378.629, 
0, 1, 23.456, 13.564, 4900.23, 0, 0, 300.01, 
1, 1, 896.683, 0.13522, 42.531, 297.11, 0.0899689, 29.1492, 
2, 1, 1889.14, 0.13522, 42.531, 292.085, 0.0899689, 29.1492, 
3, 1, 0.177046, 1587.09, 42.531, 0.117854, 190.81, 29.1492, 
4, 1, -992.275, -989.896, -1151.57, 5.14234, 6.72289, -365.785, 
5, 1, 1686.23, 0.13522, 42.531, -108.935, 0.0899689, 29.1492, 
6, 1, 0.177046, 2577.12, 42.531, 0.117854, 184.177, 29.1492, 
7, 1, -1984.73, -1979.93, -1151.57, 10.1668, 13.3558, -365.785, 
